ASHIANA HOUSING LIMITED - Ashiana Housing,07AADCA9093P1ZZ
ASHAPURA PERFOCLAY LIMITED - Ashapura Perfoclay,27AAACA9472H3ZG
ASHAPURA AGROCOMM PRIVATE LIMITED - Ashapura Agrocomm,07AALCA3210E1Z7
ASCO NUMATICS (INDIA) PRIVATE LIMITED - Asco Numatics India,33AAACA5198G1ZS
ASHIRVAD PIPES PRIVATE LIMITED - Ashirvad Pipes,27AABCA7061K1ZL
ASG HOSPITAL PRIVATE LIMITED - Asg Hospital,24AAHCA2937J1ZO
ASHOK LEYLAND LIMITED - Ashok Leyland Ltd.,01AAACA4651L1Z0
ASCOT HOTELS AND RESORTS PRIVATE LIMITED - Ascot Hotels,09AAACA9131H1ZS
ASHOKA DHANKUNI KHARAGPUR TOLLWAY LIMITED - Ashoka Dhankuni Kharagpur Tollway,19AAJCA2569C1ZO
ASHOKA BUILDCON LIMITED - Ashoka Buildcon,03AABCA9292J1ZK
ASHOKA FOAM MULTI PLAST LIMITED - Ashoka Foam Multi Plast,09AAFCA7678C1ZH
ASHOKA HIGHWAYS (BHANDARA) LIMITED - Ashoka Highways Bhandara,27AAGCA2213A1ZH
ASHOK SALES COMPANY PRIVATE LIMITED - Ashok Sales Company,09AABCA1683M1ZF
ASHOKA HIGHWAYS (DURG) LIMITED - Ashoka Highways (Durg),22AAGCA2214H1ZC
ASIA PRAGATI CAPFIN PRIVATE LIMITED - Asia Pragati,09AAACP9644A1ZH
ASIAN HOTELS (NORTH) LIMITED - Asian Hotels (North),27AAACA0125H1ZA
ASIAN PAINTS LIMITED - Asian Paints,18AAACA3622K1ZU
ARIA HOTELS AND CONSULTANCY SERVICES PRIVATE LIMITED - Asian Hotels - SPV,07AAGCA4627C1Z1
BLUE SAPPHIRE HEALTHCARES PRIVATE LIMITED - Asian Institute of Medical Sciences,07AADCB0899G1ZL
ASIANET NEWS NETWORK PRIVATE LIMITED - Asianet,32AAHCA3961A1Z8
ASIAN PAINTS PPG PRIVATE LIMITED - Asian Paints PPG,02AAJCA7128D2Z3
ASIAVILLE INTERACTIVE PRIVATE LIMITED - Asiaville,33AAQCA2781B1ZV
ASK AUTOMOTIVE PRIVATE LIMITED - Ask Automotive,02AAACA7205Q1ZS
ASM TECHNOLOGIES LIMITED - ASM Tech,29AASCA0994N1ZQ
ASM INDUSTRIES (INDIA) PRIVATE LIMITED - Asm Industries,27AAICA4697G1ZB
ASM TRAXIM PRIVATE LIMITED - Asm Traxim,07AAFCA2786H1ZK
ASPEN LABORATORIES PRIVATE LIMITED - Aspen Laboratories,07AAECA9646B1ZS
ASOMI FINANCE PRIVATE LIMITED - Asomi Finance,18AADCA3747N1ZB
ASPIRE SYSTEMS (INDIA) PRIVATE LIMITED - ASPIRE,33AACCA4543M1ZQ
ASPRI SPIRITS PRIVATE LIMITED - ASPRI,07AAECA8483E1ZL
ASRITHA DIATECH INDIA PRIVATE LIMITED - Asritha Diatech,36AAMCA7768A1ZI
ASSOCIATED ALCOHOLS & BREWERIES LTD. - Associated Alcohols & Breweries,23AAECA2674B1Z8
ASSOCIATED ADVERTISING PRIVATE LIMITED - Associated Advertising,07AACCA9562A1ZX
ASSOCIATED ROAD CARRIERS LTD - Associated Road Carriers,10AACCA4861C1ZE
ASSAM GAS COMPANY LTD - Assam Gas Co,18AABCA6977C1ZM
ASTA INDIA PRIVATE LIMITED - Asta,24AAFCA1141A1ZN
AST TELECOM SOLAR PRIVATE LIMITED - AST,09AALCA3551E1ZR
ASTABERRY BIOSCIENCES (INDIA) PRIVATE LIMITED - Astaberry,06AAACM9325K2ZA
ASTEC LIFESCIENCES LIMITED - Astec,27AAACA4832D1Z4
ASTER DM HEALTHCARE LIMITED - ASTER DM,32AACCD7912K1ZQ
ASTERIA AEROSPACE PRIVATE LIMITED - ASTERIA,29AAJCA8708R1ZR
ASTRAL POLY TECHNIK LIMITED - Astral Poly,23AABCA2951N1ZQ
ASTON SHOES PRIVATE LIMITED - ASTON,33AAFCA9529A1Z0
ASTRAZENECA PHARMA INDIA LIMITED - Astrazeneca Pharma,24AABCA1722B1ZM
ASTROGATE LABS PRIVATE LIMITED - Astrogate Labs,29AAQCA0396J1Z4
ASTRON PACKAGING LIMITED - Astron Packaging,24AAECA0093L1ZS
ASTROME TECHNOLOGIES PRIVATE LIMITED - ASTROME TECHNOLOGIES,29AANCA4897P1ZH
ATIBIR INDUSTRIES COMPANY LIMITED - Atibir,19AADCA1825B1Z7
ATHER ENERGY PRIVATE LIMITED - Ather Energy,29AAMCA0812H1ZS
ATLANTA ELECTRICALS PRIVATE LIMITED - Atlanta,24AABCA6647B1Z4
ATLANTIC LUBRICANTS AND SPECIALITIES PRIVATE LIMITED - Atlantic Lubricants & Specialities,08AAECA0002D1ZM
ATLAS FISHERIES PRIVATE LIMITED - Atlas,30AAFCA5444A1ZG
ATLAS COPCO (INDIA) LIMITED - Atlas Copco India,34AAACA4074D1Z7
ATLAS TOURS AND TRAVELS PRIVATE LIMITED - Atlas Tours & Travels,24AACCA7715P1ZF
ATOMBERG TECHNOLOGIES PRIVATE LIMITED - ATOMBERG TECHNOLOGIES,07AAKCA4836H1ZK
NUTRINE CONFECTIONERY COMPANY PRIVATE LIMITED - Nutrine Confectionery,37AAACN4838N1ZZ
ATS ELGI LIMITED - ATS ELGI,36AAGCA2220F1Z9
ATRIA BRINDAVAN POWER PRIVATE LIMITED - Atria Brindavan,29AAECA1467C1ZX
ATUL AUTO LIMITED - Atul Auto,23AACCA3018M1ZZ
AMAZON TRANSPORTATION SERVICES PRIVATE LIMITED - ATSPL,37AAKCA5016B1Z3
ATYATI TECHNOLOGIES PRIVATE LIMITED - Atyati,29AAFCA7036G1ZN
AAVAS FINANCIERS LIMITED - Au Housing Finance,27AAJCA2237M2ZG
AURIGENE DISCOVERY TECHNOLOGIES LIMITED - Aurigene,36AADCA2387A1Z2
AURIONPRO SOLUTIONS LIMITED - Aurionpro,23AAACV7297H1Z2
AUMA INDIA PRIVATE LIMITED - Auma,29AABCA1342F1Z4
AUREUS ANALYTICS PRIVATE LIMITED - Aureus Analytics,27AALCA5519N2Z5
AURA SEMICONDUCTOR PRIVATE LIMITED - Aura Semiconductor,29AAICA7499N1ZM
AURANGABAD ELECTRICALS LIMITED - Aurangabad Electricals,27AACCA2867L2ZD
AUROBINDO PHARMA LTD - Aurobindo,02AABCA7366H1ZW
AUTOMOTIVE STAMPINGS & ASSEMBLIES LIMITED - Automotive Stampings & Assemblies,27AAACJ2116M1ZN
AUTHBRIDGE RESEARCH SERVICES PRIVATE LIMITED - AuthBridge,06AAFCA3384H1ZQ
AUTO HANGAR (INDIA) PRIVATE LIMITED - Auto Hangar,27AAACA9484D1ZM
AUTOFIT PRIVATE LIMITED - Autofit,07AAACA2359P2ZE
AUTOLIV INDIA PRIVATE LIMITED - Autoliv,07AADCA6222E1Z5
AUTOMOTIVE MANUFACTURERS PRIVATE LIMITED - Automotive Manufacturers,29AAACA3428K1ZN
AUTOLINE INDUSTRIES LIMITED - Autoline Industries,27AABCA4534D1Z4
AUTOVERT TECHNOLOGIES PRIVATE LIMITED - Autovert Technologies,29AAPCA4301A1Z3
AVA SKIN CARE PRIVATE LIMITED - AVA Skin Care,29AALCA7345Q1ZS
AVANA LOGISTEK LIMITED - Avana Logistek,21AAFCS1591Q1Z0
AVAALI SOLUTIONS PRIVATE LIMITED - Avaali Solutions,29AALCA0915C1ZZ
AVAADA ENERGY PRIVATE LIMITED - Avaada Energy,10AACCE0525D1ZN
AVALON TECHNOLOGIES PRIVATE LIMITED - Avalon Technologies,29AAHCA3430A1Z7
AVANTHI WAREHOUSING SERVICES PRIVATE LIMITED - Avanthi,36AADCA1884C1ZY
AVANTI FROZEN FOODS PRIVATE LIMITED - Avanti Frozen Foods,37AANCA3928K2Z7
AVANTI LEARNING CENTRES PRIVATE LIMITED - Avanti Learning,27AALCA2005R1ZF
AVANTI MICROFINANCE PRIVATE LIMITED - Avanti Microfinance,27AAOCA8235G1ZF
AVANTIS REGTECH PRIVATE LIMITED - Avantis,27AARCA4721E1ZP
AVG LOGISTICS LIMITED - AVG Logistics,27AAICA1669A1ZX
AVENUES PAYMENTS INDIA PRIVATE LIMITED - AVENUES,27AAECS5920L1Z2
AVON CYCLES LTD - AVON,20AABCA4140R1ZV
AVIOTRON AUTOMATIONS LLP - Aviotron Automations,08ABHFA5969J1ZW
AVL INDIA PRIVATE LIMITED - AVL INDIA,27AAACA0382J1ZU
TECH DATA ADVANCED SOLUTIONS (INDIA) PRIVATE LIMITED - Avnet Technology Solutions,03AAACO3686M1Z7
AVIOM INDIA HOUSING FINANCE PRIVATE LIMITED - AVIOM,07AAOCA1595P1ZX
AVTEC LIMITED - Avtec,19AAFCA1313C1ZC
AVP HOSPITALITY PRIVATE LIMITED - AVP Hospitality,07AAJCA1940R1Z9
AVR SWARNAMAHAL JEWELRY PRIVATE LIMITED - Avr Swarnamahal Jewelry,29AAHCA9042L1Z8
AVT MCCORMICK INGREDIENTS PRIVATE LIMITED - Avt Mccormick Ingredients,24AAACA3217E1ZF
AWFIS SPACE SOLUTIONS PRIVATE LIMITED - Awfis,27AANCA1175G1ZN
AVYAN TECHSERVE PRIVATE LIMITED - AVYAN TECHSERVE,29AAPCA0167J2ZB
AWARD OFFSET PRINTERS AND PACKAGING PRIVATE LIMITED - Award,27AAACA5672M2ZC
AWIGN ENTERPRISES PRIVATE LIMITED - AWIGN,09AAOCA5799B1Z8
AXTRIA INDIA PRIVATE LIMITED - Axtria,09AAICA5862D1ZM
AYE FINANCE PRIVATE LIMITED - AYE FINANCE,27AABCD8717B1ZW
AXALTA COATING SYSTEMS INDIA PRIVATE LIMITED - Axalta Coating Systems,24AAECD2713N1ZQ
AYANA RENEWABLE POWER PRIVATE LIMITED - Ayana Renewable Power,08AARCA8875B1Z8
AZAFRAN INNOVACION LIMITED - Azafran Innovacion,07AAGCA4452K1ZL
AZURE HOSPITALITY PRIVATE LIMITED - Azure Hospitality,36AAGCA9135K1ZE
AZURE POWER INDIA PRIVATE LIMITED - Azure Power India,29AAHCA0923G1ZV
B.BRAUN MEDICAL (INDIA) PRIVATE LIMITED - B Braun Medical (India),33AAACB7394M1ZC
B K B TRANSPORT PRIVATE LIMITED - B K B Transport,29AAACK3786G1Z9
BACARDI INDIA PRIVATE LIMITED - Bacardi,21AAACB3944R1ZJ
BACKPACKER PANDA HOLIDAYS PRIVATE LIMITED - BACKPACKER PANDA,27AAGCB3583Q1Z0
BADVE ENGINEERING LIMITED - Badve Engineering,08AAACB9378F1ZG
BAFNA PHARMACEUTICALS LIMITED - Bafna Pharmaceuticals Ltd.,27AAACB3109Q1ZK
BAGHIRATHI TRAVEL SOLUTIONS PRIVATE LIMITED - BAGHIRATHI,29AACCB8387L1ZY
BAJAJ CAPITAL LIMITED - Bajaj Capital,27AAACA3565F1ZW
BAIN & COMPANY INDIA PRIVATE LIMITED - Bain & Company,27AACCB8671R2ZU
BAJAAO MUSIC PRIVATE LIMITED - Bajaao,27AAECB5401B1ZC
BAJAJ ALLIANZ GENERAL INSURANCE COMPANY LIMITED - Bajaj Allianz General Insurance,37AABCB5730G1ZW
BAJAJ ENERGY LIMITED - Bajaj Energy,09AADCB4998C1ZH
BAJAJ FINANCE LIMITED - Bajaj Finance,17AABCB1518L2ZS
BAJAJ MOTORS LIMITED - Bajaj Motors,05AAACB7413P1ZL
BAKERS CIRCLE (INDIA) PVT LTD - Bakers Circle India,06AABCB7681G1ZN
BALAJI TELEFILMS LIMITED - Balaji Telefilms,27AAACB4376M1ZD
BALMUKUND CONCAST PRIVATE LIMITED - Balmukund Concast,10AAACB9503G1ZA
BALAJI WAFERS PRIVATE LIMITED - Balaji Wafers,23AAACB8755A1Z3
BALAJI CELLPHONE PRIVATE LIMITED - Balaji Cellphone,20AAFCB3757K1ZR
BALLARPUR INDUSTRIES LIMITED - Ballarpur Industries Ltd.,07AAACB5343E1Z3
BAL PHARMA LIMITED - Bal Pharma Ltd.,29AAHCB0896R1ZR
BALMUKUND SPONGE AND IRON PRIVATE LIMITED - Balmukund Sponge And Iron,10AACCM4451E2Z3
URMIN FOODS PRIVATE LIMITED - URMIN FOODS,24AABCU2405P1ZB
BANDHAN FINANCIAL SERVICES LIMITED - Bandhan,19AABCG0611R2ZF
BANAYANTREE SERVICES LIMITED - BANAYANTREE SERVICES,06AAGCB7486G1ZF
BANDHAN BANK LIMITED - BANDHAN,02AAGCB1323G3ZD
THE BANK OF MAHARASHTRA LIMITED - Bank Of Maharashtra,24AAAAP2400Q1ZO
BARBEQUE-NATION HOSPITALITY LIMITED - Barbeque Nation,21AAKCS3053N1Z8
BANSAL ALLOYS AND METALS PRIVATE LIMITED - Bansal Alloys & Metals,03AAACB7472L1ZM
BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED - Barclays Securities India,19AACCB8800G1ZS
BARISTA COFFEE COMPANY LIMITED - Barista,36AABCB5798A1ZQ
BARMALT MALTING (INDIA) PRIVATE LIMITED - Barmalt,08AAFCB0807Q1ZG
BARTRONICS INDIA LIMITED - Bartronics India,36AAACB8231F1ZZ
BARQAT CUISINES PRIVATE LIMITED - Barqat Cuisines,03AAHCB8672K1ZD
BARRY CALLEBAUT INDIA PRIVATE LIMITED - Barry Callebaut,27AADCB2472R1Z7
BASE METAL CHLORINATIONS PRIVATE LIMITED - BASE METAL CHLORINATIONS,24AAACB7628L1ZK
BASANT AGRO TECH (INDIA) LIMITED - Basant Agro Tech (India),27AAACB2137N1ZO
BASIL LEAF FOOD SERVICES PRIVATE LIMITED - Basil Leaf Food Services,07AAFCB9329R1ZX
BASIZ FUND SERVICE PRIVATE LIMITED - Basiz Fund Services,33AACCB8229K1ZM
BASIX SUB-K ITRANSACTIONS LIMITED - BASIX - Sub-K,17AAECB2566M1ZE
BASTIAN HOSPITALITY PRIVATE LIMITED - Bastian,27AAECE4520C2Z4
BATA INDIA LIMITED - Bata,01AABCB1043Q1Z0
BAUSCH & LOMB INDIA PRIVATE LIMITED - Bausch and Lomb Eyecare,06AABCB3877E1ZT
BATHSHA MARINE EXPORTS PRIVATE LIMITED - BATHSHA MARINE EXPORTS,32AACCB1859K1ZQ
BAXTER INDIA PRIVATE LIMITED - Baxter,07AAACB3906F1Z4
BAYER BIOSCIENCE PRIVATE LIMITED - Bayer,24AAACP3459M1Z7
